Date,Tournament,W/L,Side,Vs_Team,Game_Length,Champion,Vs_Champion,Kills,Deaths,Assists,KDA,Spells,CS,Delta_CS,Items,Date_parsed,tournaments_played,date,blue_side_team,red_side_team,winner,blue_side_bans,red_side_bans,blue_side_picks,red_side_picks,blue_side_roster,red_side_roster,tournament_curr_total_games,tournament_curr_wins,tournament_curr_losses,tournament_curr_win_percentage,tournament_type,teams_region,teammate_role_top,teammate_role_jungle,teammate_role_mid,teammate_role_adc,teammate_role_support,enemy_role_top,enemy_role_jungle,enemy_role_mid,enemy_role_adc,enemy_role_support,bans,teammate_top_champion,teammate_jungle_champion,teammate_mid_champion,teammate_adc_champion,teammate_support_champion,opponent_top_champion,opponent_jungle_champion,opponent_mid_champion,opponent_adc_champion,opponent_support_champion,teammate_top_ign,teammate_jungle_ign,teammate_mid_ign,teammate_adc_ign,teammate_support_ign,opponent_top_ign,opponent_jungle_ign,opponent_mid_ign,opponent_adc_ign,opponent_support_ign
2018-06-08 08:35:00,"Asia,Asian Games 2018 Q - East",Win,Red,Japan (National Team),23:25,Lulu,Karma,2,0,6,8.0,"Ignite,FlashSummon Aery",202,+6,"Spellbinder,Ionian Boots of Lucidity,Minion Dematerializer,Luden's Echo,Needlessly Large Rod, Warding Totem ",2018-06-08 08:35:00,39,2018-06-08 08:35:00,Japan (National Team),South Korea (National Team),South Korea (National Team),"Camille,Graves,Irelia,Zoe,Yasuo","Rakan,Master Yi,Kha'Zix,Gangplank,Braum","Singed,Xin Zhao,Karma,Kai'Sa,Alistar","Ornn,Trundle,Lulu,Ezreal,Morgana","Evi,Astarore,Ceros,YutoriMoyashi,Enty","Kiin,Score,Faker,Ruler,CoreJJ",6,2,4,0.3333,No Stakes,Japan,Vanguard,Juggernaut,Enchanter,Nimble,Catcher,Diver,Diver,Enchanter,Nimble,Vanguard,"Braum,Camille,Gangplank,Graves,Irelia,Kha'Zix,Master Yi,Rakan,Yasuo,Zoe",Ornn,Trundle,Lulu,Ezreal,Morgana,Singed,Xin Zhao,Karma,Kai'Sa,Alistar,Kiin,Score,Faker,Ruler,CoreJJ,Evi,Astarore,Ceros,YutoriMoyashi,Enty
2018-06-08 09:55:00,"Asia,Asian Games 2018 Q - East",Win,Blue,Macau (National Team),21:23,Yasuo,Lulu,6,0,2,8.0,"Ignite,FlashConqueror",219,+70,"Doran's Blade,Berserker's Greaves,Refillable Potion,Phantom Dancer,Infinity Edge,B.F. Sword Warding Totem   ",2018-06-08 09:55:00,40,2018-06-08 09:55:00,South Korea (National Team),Macau (National Team),South Korea (National Team),"Rakan,Blitzcrank,Irelia,Morgana,Braum","Kai'Sa,Ezreal,Graves,Alistar,Tahm Kench","Ornn,Trundle,Yasuo,Kog'Maw,Nami","Cho'Gath,Xin Zhao,Lulu,Xayah,Thresh","Kiin,Score,Faker,Ruler,CoreJJ","JF,NH,Error,Corgi (Leung Ka Kin),GGMan",0,0,0,0.0,No Stakes,LMS,Vanguard,Juggernaut,Skirmisher,Glasscannon,Enchanter,Vanguard,Diver,Enchanter,Nimble,Catcher,"Alistar,Blitzcrank,Braum,Ezreal,Graves,Irelia,Kai'Sa,Morgana,Rakan,Tahm Kench",Ornn,Trundle,Yasuo,Kog'Maw,Nami,Cho'Gath,Xin Zhao,Lulu,Xayah,Thresh,Kiin,Score,Faker,Ruler,CoreJJ,JF,NH,Error,Corgi (Leung Ka Kin),GGMan
2018-06-08 11:56:00,"Asia,Asian Games 2018 Q - East",Win,Red,Hong Kong (National Team),41:26,Lulu,Zoe,5,1,5,10.0,"Teleport,FlashSummon Aery",403,▬,"Spellbinder,Luden's Echo,Ardent Censer,Lich Bane,Rabadon's Deathcap,Mercury's Treads Warding Totem  ",2018-06-08 11:56:00,40,2018-06-08 11:56:00,Hong Kong (National Team),South Korea (National Team),South Korea (National Team),"Yasuo,Irelia,Camille,Vladimir,Ornn","Aatrox,Rakan,Olaf,Gangplank,Shen","Singed,Xin Zhao,Zoe,Kog'Maw,Morgana","Jayce,Skarner,Lulu,Kai'Sa,Soraka","Kabe,Avoidless,Moonblack,Unified,Kaiwing","Kiin,Peanut,Faker,Ruler,CoreJJ",1,1,0,1.0,No Stakes,LMS,Artillery,Diver,Enchanter,Nimble,Enchanter,Diver,Diver,Burst,Glasscannon,Catcher,"Aatrox,Camille,Gangplank,Irelia,Olaf,Ornn,Rakan,Shen,Vladimir,Yasuo",Jayce,Skarner,Lulu,Kai'Sa,Soraka,Singed,Xin Zhao,Zoe,Kog'Maw,Morgana,Kiin,Peanut,Faker,Ruler,CoreJJ,Kabe,Avoidless,Moonblack,Unified,Kaiwing
2018-06-09 03:13:00,"Asia,Asian Games 2018 Q - East",Loss,Red,Chinese Taipei (National Team),31:00,Yasuo,Lulu,0,1,3,3.0,"Ignite,FlashConqueror",309,+75,"Guardian Angel,Berserker's Greaves,Infinity Edge,Phantom Dancer,Doran's Blade,Vampiric Scepter Warding Totem    ",2018-06-09 03:13:00,40,2018-06-09 03:13:00,Chinese Taipei (National Team),South Korea (National Team),Chinese Taipei (National Team),"Irelia,Olaf,Skarner,Thresh,Alistar","Rakan,Ornn,Kha'Zix,Morgana,Tahm Kench","Singed,Graves,Lulu,Kai'Sa,Karma","Gangplank,Trundle,Yasuo,Ezreal,Nami","PK,BAYBAY,Maple (Huang Yi-Tang),Betty,SwordArT","Kiin,Peanut,Faker,Ruler,CoreJJ",2,2,0,1.0,No Stakes,LMS,Diver,Juggernaut,Skirmisher,Nimble,Enchanter,Diver,Skirmisher,Enchanter,Nimble,Enchanter,"Alistar,Irelia,Kha'Zix,Morgana,Olaf,Ornn,Rakan,Skarner,Tahm Kench,Thresh",Gangplank,Trundle,Yasuo,Ezreal,Nami,Singed,Graves,Lulu,Kai'Sa,Karma,Kiin,Peanut,Faker,Ruler,CoreJJ,PK,BAYBAY,Maple (Huang Yi-Tang),Betty,SwordArT
2018-06-09 04:18:00,"Asia,Asian Games 2018 Q - East",Win,Blue,China (National Team),32:58,Yasuo,Vladimir,7,1,8,15.0,"Ignite,FlashConqueror",288,-3,"Broken Stopwatch,Berserker's Greaves,Phantom Dancer,Infinity Edge,B.F. Sword,Guardian Angel Warding Totem   ",2018-06-09 04:18:00,40,2018-06-09 04:18:00,South Korea (National Team),China (National Team),South Korea (National Team),"Karma,Kai'Sa,Rakan,Soraka,Morgana","Irelia,Ezreal,Lulu,Trundle,Camille","Shen,Sejuani,Yasuo,Kog'Maw,Braum","Ornn,Skarner,Vladimir,Caitlyn,Janna","Kiin,Score,Faker,Ruler,CoreJJ","Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)",3,2,1,0.6667,No Stakes,China,Warden,Vanguard,Skirmisher,Glasscannon,Warden,Vanguard,Diver,Battlemage,Sniper,Enchanter,"Camille,Ezreal,Irelia,Kai'Sa,Karma,Lulu,Morgana,Rakan,Soraka,Trundle",Shen,Sejuani,Yasuo,Kog'Maw,Braum,Ornn,Skarner,Vladimir,Caitlyn,Janna,Kiin,Score,Faker,Ruler,CoreJJ,Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)
2018-06-09 07:06:00,"Asia,Asian Games 2018 Q - East",Win,Blue,Japan (National Team),23:36,Taric,Vladimir,0,1,12,12.0,"Heal,FlashGuardian",36,-158,"Remnant of the Ascended,Refillable Potion,Mercury's Treads,Ardent Censer,Sapphire Crystal,Control Ward Oracle Lens  ",2018-06-09 07:06:00,40,2018-06-09 07:06:00,South Korea (National Team),Japan (National Team),South Korea (National Team),"Lulu,Zoe,Graves,Heimerdinger,Karma","Camille,Rakan,Yasuo,Kha'Zix,Trundle","Shen,Master Yi,Taric,Kai'Sa,Braum","Ornn,Xin Zhao,Vladimir,Ezreal,Morgana","Kiin,Peanut,Faker,Ruler,CoreJJ","apaMEN,Astarore,Ceros,YutoriMoyashi,Enty",4,3,1,0.75,No Stakes,Japan,Warden,Skirmisher,Warden,Nimble,Warden,Vanguard,Diver,Battlemage,Nimble,Catcher,"Camille,Graves,Heimerdinger,Karma,Kha'Zix,Lulu,Rakan,Trundle,Yasuo,Zoe",Shen,Master Yi,Taric,Kai'Sa,Braum,Ornn,Xin Zhao,Vladimir,Ezreal,Morgana,Kiin,Peanut,Faker,Ruler,CoreJJ,apaMEN,Astarore,Ceros,YutoriMoyashi,Enty
2018-06-09 07:59:00,"Asia,Asian Games 2018 Q - East",Win,Red,Macau (National Team),34:07,Jax,Yasuo,7,6,6,2.17,"Ignite,FlashConqueror",273,+15,"Guardian Angel,Corrupting Potion,Trinity Fusion,Berserker's Greaves,Sterak's Gage,Doran's Blade Warding Totem   ",2018-06-09 07:59:00,40,2018-06-09 07:59:00,Macau (National Team),South Korea (National Team),South Korea (National Team),"Rakan,Master Yi,Ezreal,Kog'Maw,Caitlyn","Blitzcrank,Graves,Kai'Sa,Alistar,Varus","Irelia,Camille,Yasuo,Ashe,Nami","Ornn,Trundle,Jax,Jhin,Karma","JF,NH,Error,Corgi (Leung Ka Kin),GGMan","Kiin,Peanut,Faker,Ruler,CoreJJ",5,4,1,0.8,No Stakes,LMS,Vanguard,Juggernaut,Skirmisher,Sniper,Enchanter,Diver,Diver,Skirmisher,Sniper,Enchanter,"Alistar,Blitzcrank,Caitlyn,Ezreal,Graves,Kai'Sa,Kog'Maw,Master Yi,Rakan,Varus",Ornn,Trundle,Jax,Jhin,Karma,Irelia,Camille,Yasuo,Ashe,Nami,Kiin,Peanut,Faker,Ruler,CoreJJ,JF,NH,Error,Corgi (Leung Ka Kin),GGMan
2018-06-09 10:12:00,"Asia,Asian Games 2018 Q - East",Win,Blue,Hong Kong (National Team),30:22,Ryze,Lulu,7,1,5,12.0,"Teleport,FlashPhase Rush",321,+98,"Seraph's Embrace,Void Staff,Banshee's Veil,Rod of Ages,Mercury's Treads,Needlessly Large Rod Warding Totem  ",2018-06-09 10:12:00,40,2018-06-09 10:12:00,South Korea (National Team),Hong Kong (National Team),South Korea (National Team),"Zoe,Skarner,Morgana,Karma,Blitzcrank","Kai'Sa,Irelia,Yasuo,Taliyah,Vladimir","Shen,Trundle,Ryze,Xayah,Rakan","Ornn,Xin Zhao,Lulu,Ezreal,Leona","Kiin,Score,Faker,Ruler,CoreJJ","Kabe,Avoidless,Moonblack,Unified,Kaiwing",6,5,1,0.8333,No Stakes,LMS,Warden,Juggernaut,Battlemage,Nimble,Catcher,Vanguard,Diver,Enchanter,Nimble,Vanguard,"Blitzcrank,Irelia,Kai'Sa,Karma,Morgana,Skarner,Taliyah,Vladimir,Yasuo,Zoe",Shen,Trundle,Ryze,Xayah,Rakan,Ornn,Xin Zhao,Lulu,Ezreal,Leona,Kiin,Score,Faker,Ruler,CoreJJ,Kabe,Avoidless,Moonblack,Unified,Kaiwing
2018-06-10 02:29:00,"Asia,Asian Games 2018 Q - East",Win,Blue,Chinese Taipei (National Team),39:13,Lulu,Zoe,3,2,10,6.5,"Ignite,FlashSummon Aery",353,+38,"Rabadon's Deathcap,Banner of Command,Ardent Censer,Lich Bane,Sorcerer's Shoes,Void Staff Warding Totem  ",2018-06-10 02:29:00,40,2018-06-10 02:29:00,South Korea (National Team),Chinese Taipei (National Team),South Korea (National Team),"Skarner,Morgana,Singed,Ornn,Camille","Kai'Sa,Ezreal,Irelia,Gangplank,Graves","Gnar,Kha'Zix,Lulu,Xayah,Rakan","Aatrox,Trundle,Zoe,Caitlyn,Tahm Kench","Kiin,Score,Faker,Ruler,CoreJJ","PK,Morning,Maple (Huang Yi-Tang),Betty,SwordArT",7,6,1,0.8571,No Stakes,LMS,Vanguard,Assassin,Enchanter,Nimble,Catcher,Juggernaut,Juggernaut,Burst,Sniper,Warden,"Camille,Ezreal,Gangplank,Graves,Irelia,Kai'Sa,Morgana,Ornn,Singed,Skarner",Gnar,Kha'Zix,Lulu,Xayah,Rakan,Aatrox,Trundle,Zoe,Caitlyn,Tahm Kench,Kiin,Score,Faker,Ruler,CoreJJ,PK,Morning,Maple (Huang Yi-Tang),Betty,SwordArT
2018-06-10 04:11:00,"Asia,Asian Games 2018 Q - East",Loss,Red,China (National Team),38:22,Singed,Irelia,0,2,0,0.0,"Ignite,FlashSummon Aery",317,-92,"Shurelya's Reverie,Liandry's Torment,Rylai's Crystal Scepter,Ninja Tabi,The Dark Seal,Fiendish Codex Warding Totem  ",2018-06-10 04:11:00,40,2018-06-10 04:11:00,China (National Team),South Korea (National Team),China (National Team),"Skarner,Yasuo,Lulu,Taliyah,Trundle","Karma,Kai'Sa,Morgana,Graves,Xin Zhao","Ornn,Lee Sin,Irelia,Ezreal,Janna","Camille,Olaf,Singed,Xayah,Rakan","Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)","Kiin,Peanut,Faker,Ruler,CoreJJ",8,7,1,0.875,No Stakes,China,Diver,Diver,Diver,Nimble,Catcher,Vanguard,Diver,Diver,Nimble,Enchanter,"Graves,Kai'Sa,Karma,Lulu,Morgana,Skarner,Taliyah,Trundle,Xin Zhao,Yasuo",Camille,Olaf,Singed,Xayah,Rakan,Ornn,Lee Sin,Irelia,Ezreal,Janna,Kiin,Peanut,Faker,Ruler,CoreJJ,Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)
2018-06-10 07:04:00,"Asia,Asian Games 2018 Q - East",Win,Blue,China (National Team),29:26,Galio,Zoe,3,1,4,7.0,"Teleport,FlashAftershock",275,▬,"Zhonya's Hourglass,Blasting Wand,Mercury's Treads,Rod of Ages,The Dark Seal,Lost Chapter Warding Totem  ",2018-06-10 07:04:00,40,2018-06-10 07:04:00,South Korea (National Team),China (National Team),South Korea (National Team),"Karma,Irelia,Rakan,Janna,Soraka","Skarner,Yasuo,Lulu,Malzahar,Sejuani","Shen,Camille,Galio,Kai'Sa,Braum","Ornn,Kha'Zix,Zoe,Ezreal,Morgana","Kiin,Score,Faker,Ruler,CoreJJ","Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)",9,7,2,0.7778,No Stakes,China,Warden,Diver,Warden,Nimble,Warden,Vanguard,Assassin,Burst,Nimble,Catcher,"Irelia,Janna,Karma,Lulu,Malzahar,Rakan,Sejuani,Skarner,Soraka,Yasuo",Shen,Camille,Galio,Kai'Sa,Braum,Ornn,Kha'Zix,Zoe,Ezreal,Morgana,Kiin,Score,Faker,Ruler,CoreJJ,Letme,Mlxg,Xiye,Uzi (Jian Zi-Hao),Ming (Shi Sen-Ming)
2018-06-10 08:27:00,"Asia,Asian Games 2018 Q - East",Win,Red,Chinese Taipei (National Team),26:27,Yasuo,Azir,3,0,4,7.0,"Ignite,FlashConqueror",313,+50,"Quicksilver Sash,Broken Stopwatch,Infinity Edge,Phantom Dancer,B.F. Sword,Berserker's Greaves Warding Totem ",2018-06-10 08:27:00,40,2018-06-10 08:27:00,Chinese Taipei (National Team),South Korea (National Team),South Korea (National Team),"Camille,Irelia,Karma,Xayah,Shen","Kai'Sa,Lulu,Singed,Vladimir,Galio","Ornn,Trundle,Azir,Ezreal,Morgana","Gangplank,Skarner,Yasuo,Kog'Maw,Rakan","PK,BAYBAY,Maple (Huang Yi-Tang),Betty,SwordArT","Kiin,Peanut,Faker,Ruler,CoreJJ",10,8,2,0.8,No Stakes,LMS,Diver,Diver,Skirmisher,Glasscannon,Catcher,Vanguard,Juggernaut,Battlemage,Nimble,Catcher,"Camille,Galio,Irelia,Kai'Sa,Karma,Lulu,Shen,Singed,Vladimir,Xayah",Gangplank,Skarner,Yasuo,Kog'Maw,Rakan,Ornn,Trundle,Azir,Ezreal,Morgana,Kiin,Peanut,Faker,Ruler,CoreJJ,PK,BAYBAY,Maple (Huang Yi-Tang),Betty,SwordArT
2018-06-13 08:27:00,"Korea,LCK 2018 Summer",Loss,Red,Afreeca Freecs,26:36,Yasuo,LeBlanc,0,3,0,0.0,"Barrier,FlashConqueror",247,+29,"Broken Stopwatch,Berserker's Greaves,Refillable Potion,Phantom Dancer,Doran's Blade,B.F. Sword Warding Totem    ",2018-06-13 08:27:00,40,2018-06-13 08:27:00,Afreeca Freecs,SK Telecom T1,Afreeca Freecs,"Morgana,Ezreal,Irelia,Camille,Xin Zhao","Taliyah,Taric,Karthus,Jayce,Zoe","Aatrox,Nocturne,LeBlanc,Vladimir,Shen","Darius,Skarner,Yasuo,Lulu,Alistar","Kiin,Spirit,Kuro,Aiming,TusiN","Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan)",11,9,2,0.8182,Regular Season,Korea,Juggernaut,Diver,Skirmisher,Enchanter,Vanguard,Juggernaut,Assassin,Burst,Battlemage,Warden,"Camille,Ezreal,Irelia,Jayce,Karthus,Morgana,Taliyah,Taric,Xin Zhao,Zoe",Darius,Skarner,Yasuo,Lulu,Alistar,Aatrox,Nocturne,LeBlanc,Vladimir,Shen,Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan),Kiin,Spirit,Kuro,Aiming,TusiN
2018-06-13 09:46:00,"Korea,LCK 2018 Summer",Loss,Blue,Afreeca Freecs,37:27,Darius,Vladimir,0,2,4,2.0,"Ghost,FlashConqueror",316,+23,"Guardian Angel,Targon's Brace,Brawler's Gloves,Trinity Force (0.9.25.21 - 10.22),Sterak's Gage,Ninja Tabi Oracle Lens   ",2018-06-13 09:46:00,41,2018-06-13 09:46:00,SK Telecom T1,Afreeca Freecs,Afreeca Freecs,"Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks","Irelia,Ezreal,Camille,Renekton,LeBlanc","Gangplank,Skarner,Darius,Lulu,Shen","Aatrox,Trundle,Vladimir,Yasuo,Rakan","Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan)","Kiin,Spirit,Kuro,Aiming,TusiN",0,0,0,0.0,Regular Season,Korea,Diver,Diver,Juggernaut,Enchanter,Warden,Juggernaut,Juggernaut,Battlemage,Skirmisher,Catcher,"Alistar,Camille,Ezreal,Fiddlesticks,Irelia,LeBlanc,Nocturne,Renekton,Taliyah,Zoe",Gangplank,Skarner,Darius,Lulu,Shen,Aatrox,Trundle,Vladimir,Yasuo,Rakan,Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan),Kiin,Spirit,Kuro,Aiming,TusiN
2018-06-15 12:08:00,"Korea,LCK 2018 Summer",Loss,Red,Gen.G,29:28,Lulu,Zoe,1,2,1,1.0,"Ignite,FlashSummon Aery",276,+5,"Corrupting Potion,Banner of Command,Needlessly Large Rod,Mercury's Treads,Luden's Echo,Needlessly Large Rod Warding Totem   ",2018-06-15 12:08:00,41,2018-06-15 12:08:00,Gen.G,SK Telecom T1,Gen.G,"Irelia,Yasuo,Nocturne,Darius,Morgana","Camille,Taliyah,Shen,Lucian,Singed","Ryze,Xin Zhao,Zoe,Xayah,Rakan","Dr. Mundo,Rengar,Lulu,Ezreal,Kennen","CuVee,Haru,Fly (Song Yong-jun),Ruler,CoreJJ","Thal,Blossom,Faker,Bang,Wolf (Lee Jae-wan)",1,0,1,0.0,Regular Season,Korea,Juggernaut,Assassin,Enchanter,Nimble,Diver,Battlemage,Diver,Burst,Nimble,Catcher,"Camille,Darius,Irelia,Lucian,Morgana,Nocturne,Shen,Singed,Taliyah,Yasuo",Dr. Mundo,Rengar,Lulu,Ezreal,Kennen,Ryze,Xin Zhao,Zoe,Xayah,Rakan,Thal,Blossom,Faker,Bang,Wolf (Lee Jae-wan),CuVee,Haru,Fly (Song Yong-jun),Ruler,CoreJJ
2018-06-15 13:27:00,"Korea,LCK 2018 Summer",Loss,Blue,Gen.G,23:45,Taric,Braum,1,5,3,0.8,"Heal,ExhaustGuardian",24,-38,"Nomad's Medallion,Refillable Potion,Ardent Censer,Boots of Swiftness,Crystalline Bracer,Control Ward Oracle Lens    ",2018-06-15 13:27:00,41,2018-06-15 13:27:00,SK Telecom T1,Gen.G,Gen.G,"Rakan,Zoe,Taliyah,Ryze,Singed","Irelia,Yasuo,Lulu,Darius,Dr. Mundo","Karthus,Master Yi,Taric,Ezreal,Shen","Cho'Gath,Camille,Braum,Ashe,Tahm Kench","Thal,Blossom,Faker,Bang,Wolf (Lee Jae-wan)","CuVee,Haru,Fly (Song Yong-jun),Ruler,CoreJJ",2,0,2,0.0,Regular Season,Korea,Battlemage,Skirmisher,Warden,Nimble,Warden,Vanguard,Diver,Warden,Sniper,Warden,"Darius,Dr. Mundo,Irelia,Lulu,Rakan,Ryze,Singed,Taliyah,Yasuo,Zoe",Karthus,Master Yi,Taric,Ezreal,Shen,Cho'Gath,Camille,Braum,Ashe,Tahm Kench,Thal,Blossom,Faker,Bang,Wolf (Lee Jae-wan),CuVee,Haru,Fly (Song Yong-jun),Ruler,CoreJJ
2018-06-22 08:04:00,"Korea,LCK 2018 Summer",Loss,Red,Griffin (Korean Team),39:17,Yasuo,Lulu,5,4,5,2.5,"Ignite,FlashConqueror",353,+134,"Mercurial Scimitar,Phantom Dancer,Berserker's Greaves,Infinity Edge,Guardian Angel,Control Ward Warding Totem   ",2018-06-22 08:04:00,41,2018-06-22 08:04:00,Griffin (Korean Team),SK Telecom T1,Griffin (Korean Team),"Swain,Nocturne,Camille,Blitzcrank,Alistar","Trundle,Aatrox,Rakan,Soraka,Singed","Dr. Mundo,Braum,Lulu,Kai'Sa,Shen","Darius,Skarner,Yasuo,Vladimir,Morgana","Sword (Choi Sung-won),Tarzan (Lee Seung-yong),Chovy,Viper (Park Do-hyeon),Lehends","Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan)",3,0,3,0.0,Regular Season,Korea,Juggernaut,Diver,Skirmisher,Battlemage,Catcher,Juggernaut,Warden,Enchanter,Nimble,Warden,"Aatrox,Alistar,Blitzcrank,Camille,Nocturne,Rakan,Singed,Soraka,Swain,Trundle",Darius,Skarner,Yasuo,Vladimir,Morgana,Dr. Mundo,Braum,Lulu,Kai'Sa,Shen,Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan),Sword (Choi Sung-won),Tarzan (Lee Seung-yong),Chovy,Viper (Park Do-hyeon),Lehends
2018-06-22 09:49:00,"Korea,LCK 2018 Summer",Loss,Blue,Griffin (Korean Team),27:40,Jax,Taric,2,4,2,1.0,"Ignite,FlashConqueror",243,+189,"Corrupting Potion,Ninja Tabi,Trinity Force (0.9.25.21 - 10.22),Sterak's Gage,Control Ward,Vampiric Scepter Warding Totem    ",2018-06-22 09:49:00,41,2018-06-22 09:49:00,SK Telecom T1,Griffin (Korean Team),Griffin (Korean Team),"Kai'Sa,Zoe,Nocturne,Singed,Dr. Mundo","Swain,Lulu,Camille,Tahm Kench,Alistar","Vladimir,Trundle,Jax,Xayah,Rakan","Aatrox,Master Yi,Taric,Taliyah,Shen","Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan)","Sword (Choi Sung-won),Tarzan (Lee Seung-yong),Chovy,Viper (Park Do-hyeon),Lehends",4,0,4,0.0,Regular Season,Korea,Battlemage,Juggernaut,Skirmisher,Nimble,Catcher,Juggernaut,Skirmisher,Warden,Battlemage,Warden,"Alistar,Camille,Dr. Mundo,Kai'Sa,Lulu,Nocturne,Singed,Swain,Tahm Kench,Zoe",Vladimir,Trundle,Jax,Xayah,Rakan,Aatrox,Master Yi,Taric,Taliyah,Shen,Thal,Blank,Faker,Bang,Wolf (Lee Jae-wan),Sword (Choi Sung-won),Tarzan (Lee Seung-yong),Chovy,Viper (Park Do-hyeon),Lehends
2018-06-24 07:58:00,"Korea,LCK 2018 Summer",Win,Blue,Jin Air Green Wings,24:52,Taliyah,Irelia,1,1,5,6.0,"Heal,FlashSummon Aery",275,+49,"Luden's Echo,Morellonomicon,Doran's Ring,The Dark Seal,Sorcerer's Shoes,Refillable Potion Warding Totem ",2018-06-24 07:58:00,41,2018-06-24 07:58:00,SK Telecom T1,Jin Air Green Wings,SK Telecom T1,"Zoe,Camille,Nocturne,Morgana,Syndra","Swain,Lulu,Nasus,Trundle,Skarner","Aatrox,Rakan,Taliyah,Xayah,Shen","Dr. Mundo,Sejuani,Irelia,Vladimir,Tahm Kench","Thal,Blank,Faker,Bang,Effort","SoHwan,KaKAO,Grace,Teddy,Nova (Park Chan-ho)",5,0,5,0.0,Regular Season,Korea,Juggernaut,Catcher,Battlemage,Nimble,Warden,Juggernaut,Vanguard,Diver,Battlemage,Warden,"Camille,Lulu,Morgana,Nasus,Nocturne,Skarner,Swain,Syndra,Trundle,Zoe",Aatrox,Rakan,Taliyah,Xayah,Shen,Dr. Mundo,Sejuani,Irelia,Vladimir,Tahm Kench,Thal,Blank,Faker,Bang,Effort,SoHwan,KaKAO,Grace,Teddy,Nova (Park Chan-ho)
2018-06-24 09:34:00,"Korea,LCK 2018 Summer",Win,Red,Jin Air Green Wings,46:42,Galio,Zoe,3,3,14,5.67,"Teleport,FlashAftershock",447,+20,"Zhonya's Hourglass,Morellonomicon,Luden's Echo,Mercury's Treads,Rod of Ages,Rabadon's Deathcap Warding Totem    ",2018-06-24 09:34:00,41,2018-06-24 09:34:00,Jin Air Green Wings,SK Telecom T1,SK Telecom T1,"Taliyah,Xayah,Irelia,Yasuo,Morgana","Nocturne,Swain,Lulu,Dr. Mundo,Jax","Ornn,Camille,Zoe,Lucian,Rakan","Aatrox,Skarner,Galio,Ezreal,Braum","SoHwan,UmTi,Grace,Teddy,Nova (Park Chan-ho)","Thal,Blank,Faker,Bang,Effort",6,1,5,0.1667,Regular Season,Korea,Juggernaut,Diver,Warden,Nimble,Warden,Vanguard,Diver,Burst,Nimble,Catcher,"Dr. Mundo,Irelia,Jax,Lulu,Morgana,Nocturne,Swain,Taliyah,Xayah,Yasuo",Aatrox,Skarner,Galio,Ezreal,Braum,Ornn,Camille,Zoe,Lucian,Rakan,Thal,Blank,Faker,Bang,Effort,SoHwan,UmTi,Grace,Teddy,Nova (Park Chan-ho)
2018-06-26 08:16:00,"Korea,LCK 2018 Summer",Loss,Blue,KT Rolster,33:07,Cassiopeia,Swain,0,2,5,2.5,"Heal,FlashPhase Rush",301,+36,"Seraph's Embrace,Banshee's Veil,Void Staff,The Dark Seal,Control Ward,Needlessly Large Rod Warding Totem    ",2018-06-26 08:16:00,41,2018-06-26 08:16:00,SK Telecom T1,KT Rolster,KT Rolster,"Zoe,Nocturne,Rumble,Renekton,Trundle","Xayah,Taliyah,Galio,Soraka,Braum","Aatrox,Sejuani,Cassiopeia,Varus,Morgana","Ornn,Kindred,Swain,Ezreal,Tahm Kench","Thal,Blank,Faker,Bang,Effort","Smeb,Score,Ucal,Deft,Mata",7,2,5,0.2857,Regular Season,Korea,Juggernaut,Vanguard,Battlemage,Marksman,Catcher,Vanguard,Nimble,Battlemage,Nimble,Warden,"Braum,Galio,Nocturne,Renekton,Rumble,Soraka,Taliyah,Trundle,Xayah,Zoe",Aatrox,Sejuani,Cassiopeia,Varus,Morgana,Ornn,Kindred,Swain,Ezreal,Tahm Kench,Thal,Blank,Faker,Bang,Effort,Smeb,Score,Ucal,Deft,Mata
